#DNA_BINDING PROTEINS
MONOMERS FRAME  6973
COMPLEXES FRAME  6960
protId, coordinates, strand, dna_footprint
MG_213_214_298_6MER_ADP,318482,1,630
MG_213_214_298_6MER_ADP,324049,1,630
MG_213_214_298_6MER_ADP,330238,1,630
MG_213_214_298_6MER_ADP,335572,1,630
DNA_GYRASE,337422,1,140
MG_469_1MER_ATP,338046,1,11
DNA_GYRASE,338431,1,140
MG_213_214_298_6MER_ADP,342537,1,630
MG_469_1MER_ATP,346260,1,11
MG_213_214_298_6MER_ADP,347841,1,630
DNA_GYRASE,351734,1,140
MG_213_214_298_6MER_ADP,355493,1,630
DNA_GYRASE,358437,1,140
MG_469_1MER_ATP,362559,1,11
MG_213_214_298_6MER_ADP,363657,1,630
DNA_GYRASE,369273,1,140
RNA_POLYMERASE,371302,1,75
MG_213_214_298_6MER_ADP,371757,1,630
DNA_GYRASE,372969,1,140
MG_205_DIMER,376752,1,33
MG_213_214_298_6MER_ADP,379041,1,630
MG_213_214_298_6MER_ADP,385576,1,630
DNA_GYRASE,386273,1,140
MG_213_214_298_6MER_ADP,390955,1,630
DNA_GYRASE,393913,1,140
MG_469_1MER_ATP,396819,1,11
MG_213_214_298_6MER_ADP,398285,1,630
RNA_POLYMERASE,400013,1,75
MG_469_1MER_ATP,402138,1,11
DNA_GYRASE,402338,1,140
MG_213_214_298_6MER_ADP,403900,1,630
MG_469_1MER_ATP,407137,1,11
DNA_GYRASE,408335,1,140
DNA_GYRASE,408728,1,140
MG_213_214_298_6MER_ADP,409384,1,630
MG_469_1MER_ATP,410216,1,11
MG_469_1MER_ATP,412596,1,11
MG_213_214_298_6MER_ADP,415135,1,630
MG_469_1MER_ATP,421237,1,11
MG_213_214_298_6MER_ADP,421406,1,630
DNA_GYRASE,422839,1,140
MG_213_214_298_6MER_ADP,426882,1,630
MG_213_214_298_6MER_ADP,434598,1,630
DNA_GYRASE,438210,1,140
MG_213_214_298_6MER_ADP,440077,1,630
MG_213_214_298_6MER_ADP,446477,1,630
DNA_GYRASE,448162,1,140
RNA_POLYMERASE,448840,1,75
MG_213_214_298_6MER_ADP,453273,1,630
MG_213_214_298_6MER_ADP,458621,1,630
MG_213_214_298_6MER_ADP,464413,1,630
MG_213_214_298_6MER_ADP,469838,1,630
MG_213_214_298_6MER_ADP,477201,1,630
DNA_GYRASE,483409,1,140
MG_213_214_298_6MER_ADP,483989,1,630
MG_469_1MER_ATP,486091,1,11
MG_469_1MER_ATP,486435,1,11
DNA_GYRASE,488611,1,140
MG_213_214_298_6MER_ADP,491565,1,630
DNA_GYRASE,493160,1,140
MG_213_214_298_6MER_ADP,498160,1,630
MG_469_1MER_ATP,498793,1,11
MG_213_214_298_6MER_ADP,504888,1,630
MG_213_214_298_6MER_ADP,510843,1,630
MG_213_214_298_6MER_ADP,516795,1,630
MG_213_214_298_6MER_ADP,522148,1,630
DNA_GYRASE,524830,1,140
MG_469_1MER_ATP,526518,1,11
MG_213_214_298_6MER_ADP,529706,1,630
MG_213_214_298_6MER_ADP,535222,1,630
MG_469_1MER_ATP,538579,1,11
RNA_POLYMERASE,540504,1,75
MG_213_214_298_6MER_ADP,541306,1,630
MG_469_1MER_ATP,544814,1,11
MG_213_214_298_6MER_ADP,546990,1,630
DNA_GYRASE,548579,1,140
DNA_GYRASE,550056,1,140
MG_428_DIMER,552553,1,28
DNA_GYRASE,553273,1,140
MG_213_214_298_6MER_ADP,554280,1,630
MG_213_214_298_6MER_ADP,561639,1,630
MG_213_214_298_6MER_ADP,568659,1,630
DNA_GYRASE,570754,1,140
MG_213_214_298_6MER_ADP,574584,1,630
DNA_GYRASE,578112,1,140
MG_469_7MER_ATP,578791,1,11
MG_469_6MER_ATP,578895,1,11
MG_469_7MER_ATP,578923,1,11
MG_469_7MER_ATP,579010,1,11
RNA_POLYMERASE,64530,2,75
RNA_POLYMERASE,213045,2,75
RNA_POLYMERASE,239362,2,75
RNA_POLYMERASE,302990,2,75
RNA_POLYMERASE,327758,2,75
RNA_POLYMERASE,327968,2,75
RNA_POLYMERASE,329252,2,75
RNA_POLYMERASE,331498,2,75
RNA_POLYMERASE,331965,2,75
RNA_POLYMERASE,332662,2,75
RNA_POLYMERASE,333097,2,75
RNA_POLYMERASE,334244,2,75
RNA_POLYMERASE,334519,2,75
RNA_POLYMERASE,336903,2,75
RNA_POLYMERASE_HOLOENZYME,344126,2,75
RNA_POLYMERASE,344333,2,75
RNA_POLYMERASE,366565,2,75
RNA_POLYMERASE,366898,2,75
RNA_POLYMERASE,370201,2,75
RNA_POLYMERASE,371421,2,75
RNA_POLYMERASE,375410,2,75
RNA_POLYMERASE,375635,2,75
RNA_POLYMERASE,399319,2,75
RNA_POLYMERASE,403227,2,75
RNA_POLYMERASE,403470,2,75
RNA_POLYMERASE,403693,2,75
RNA_POLYMERASE,433489,2,75
RNA_POLYMERASE,441550,2,75
RNA_POLYMERASE,460825,2,75
RNA_POLYMERASE,471419,2,75
RNA_POLYMERASE,490218,2,75
RNA_POLYMERASE,495869,2,75
RNA_POLYMERASE,524034,2,75
RNA_POLYMERASE,527558,2,75
RNA_POLYMERASE,538239,2,75
RNA_POLYMERASE,553780,2,75
RNA_POLYMERASE,562464,2,75
RNA_POLYMERASE,566471,2,75
