# #name, id, TU, TU length, copy id, ribosome_position (in RIBOSOME)
RIBOSOME,2,TU_003,4746,2, 1437
RIBOSOME,3,TU_003,4746,1, 1692
RIBOSOME,4,TU_003,4746,0, 3139
RIBOSOME,5,TU_003,4746,1, 3475
RIBOSOME,6,TU_003,4746,1, 3715
RIBOSOME,7,TU_003,4746,0, 4305
RIBOSOME,8,TU_003,4746,0, 4365
RIBOSOME,9,TU_003,4746,1, 4344
RIBOSOME,10,TU_018,1245,4, 330
RIBOSOME,11,TU_029,2644,6, 675
RIBOSOME,12,TU_029,2644,6, 1227
RIBOSOME,13,TU_039,912,9, 501
RIBOSOME,14,TU_039,912,9, 567
RIBOSOME,15,TU_056,627,11, 240
RIBOSOME,16,TU_064,234,15, 51
RIBOSOME,17,TU_074,6356,19, 51
RIBOSOME,18,TU_074,6356,19, 2031
RIBOSOME,19,TU_074,6356,19, 5306
RIBOSOME,20,TU_075,1416,20, 384
RIBOSOME,21,TU_090,1596,22, 1320
RIBOSOME,22,TU_102,4894,25, 399
RIBOSOME,23,TU_102,4894,24, 1052
RIBOSOME,24,TU_102,4894,24, 2585
RIBOSOME,25,TU_102,4894,25, 4636
RIBOSOME,26,TU_151,4160,30, 123
RIBOSOME,27,TU_151,4160,30, 1202
RIBOSOME,28,TU_151,4160,30, 2381
RIBOSOME,29,TU_151,4160,30, 2441
RIBOSOME,30,TU_159,2798,31, 1589
RIBOSOME,31,TU_160,498,32, 252
RIBOSOME,32,TU_173,4361,34, 1074
RIBOSOME,33,TU_173,4361,34, 1533
RIBOSOME,34,TU_173,4361,34, 2256
RIBOSOME,35,TU_176,3582,35, 1710
RIBOSOME,36,TU_176,3582,35, 2028
RIBOSOME,37,TU_180,3553,36, 966
RIBOSOME,38,TU_182,3539,40, 3002
RIBOSOME,39,TU_182,3539,40, 3062
RIBOSOME,40,TU_182,3539,41, 3002
RIBOSOME,41,TU_182,3539,40, 3203
RIBOSOME,42,TU_182,3539,41, 3443
RIBOSOME,43,TU_182,3539,39, 1593
RIBOSOME,44,TU_182,3539,40, 1593
RIBOSOME,45,TU_182,3539,39, 1653
RIBOSOME,46,TU_182,3539,40, 1653
RIBOSOME,47,TU_182,3539,41, 1905
RIBOSOME,48,TU_182,3539,40, 1944
RIBOSOME,49,TU_182,3539,39, 1944
RIBOSOME,50,TU_182,3539,38, 1944
RIBOSOME,51,TU_182,3539,38, 2169
RIBOSOME,52,TU_182,3539,40, 2304
RIBOSOME,53,TU_182,3539,40, 2427
RIBOSOME,54,TU_182,3539,41, 2427
RIBOSOME,55,TU_182,3539,39, 48
RIBOSOME,56,TU_182,3539,39, 654
RIBOSOME,57,TU_182,3539,40, 729
RIBOSOME,58,TU_182,3539,38, 1002
RIBOSOME,59,TU_182,3539,41, 1002
RIBOSOME,60,TU_198,4912,42, 924
RIBOSOME,61,TU_204,2251,43, 1981
RIBOSOME,62,TU_206,1074,44, 762
RIBOSOME,63,TU_213,618,45, 309
RIBOSOME,64,TU_251,2150,49, 1628
RIBOSOME,65,TU_260,1182,51, 699
RIBOSOME,66,TU_260,1182,50, 834
RIBOSOME,67,TU_285,3337,53, 2671
RIBOSOME,68,TU_285,3337,53, 2731
RIBOSOME,69,TU_285,3337,53, 3103
RIBOSOME,70,TU_285,3337,53, 3163
RIBOSOME,71,TU_286,1221,54, 240
RIBOSOME,72,TU_317,1326,63, 54
RIBOSOME,73,TU_322,1649,64, 96
