name, molecular_weight, confidence (HHpred),pdb, selection, bu, uniprot, label, surface, compartment, comments, complexation, template, quality (modfold=monomers/voroMQA=complexes), offset, pcpalAxis, protein copy number, method, dsDNA-binding, function 
MG_213_214_298_6MER_ADP,,75.21767086333334,4rsj_5xg2_5nnv_5xei_5xg3_ADP_spcAB.pdb,,AU,,Chromosome Segregation Protein SMC with SCP Proteins-ADP,,curated_root.mge,c,1.0,-,0.3745,"-85,-167,-214","0.89,0.17,-0.42",0,PDB-homolog (manually assembled),1,cytokinesis/motility
MG_215_TETRAMER,141818,99.07120743,pfka.pdb,,AU,,6-phosphofructokinase,,curated_root.mge,c,1.0,1ZXX_A,0.387912,"0,0,0","0,0,1",20,CYT-MG-model,0,metabolism
MG_216_TETRAMER,227099,98.42519685,MG_216_TETRAMER_g.pdb,,AU,,pyruvate kinase,,curated_root.mge,c,1.0,3T05,0.475135,"0,0,0","0,0,1",26,Homology Modeling,0,metabolism
MG_221_OCTAMER,130452,100.0,MG_221_OCTAMER_g.pdb,,AU,,mraZ protein,,curated_root.mge,c,1.0,1n0e,0.562839,"0,0,0","0,0,1",16,Homology Modeling,1,cytokinesis/motility
MG_224_2MER_GTP,,89.43089431,1W5B,,AU,,cell division protein ftsZ activated 2mer,,curated_root.mge,c,1.0,-,0.564241,"2.32e-16,-2e-17,40","0,0,1",1,PDB-homolog,0,cytokinesis/motility
MG_224_3MER_GTP,,89.43089431,1w5b_3mer.pdb,,AU,,cell division protein ftsZ activated 3mer,,curated_root.mge,c,1.0,-,0.563525,"0,0,0","0,0,1",1,PDB-homolog (manually assembled),0,cytokinesis/motility
MG_224_4MER_GTP,,89.43089431,1w5b_4mer.pdb,,AU,,cell division protein ftsZ activated 4mer,,curated_root.mge,c,1.0,-,0.564394,"0,0,0","0,0,1",2,PDB-homolog (manually assembled),0,cytokinesis/motility
MG_224_5MER_GTP,,89.43089431,1w5b_5mer.pdb,,AU,,cell division protein ftsZ activated 5mer,,curated_root.mge,c,1.0,-,0.563924,"0,0,0","0,0,1",2,PDB-homolog (manually assembled),0,cytokinesis/motility
MG_224_6MER_GTP,,89.43089431,1w5b_6mer.pdb,,AU,,cell division protein ftsZ activated 6mer,,curated_root.mge,c,1.0,-,0.564436,"0,0,0","0,0,1",4,PDB-homolog (manually assembled),0,cytokinesis/motility
MG_224_7MER_GTP,,89.43089431,1w5b_7mer.pdb,,AU,,cell division protein ftsZ activated 7mer,,curated_root.mge,c,1.0,-,0.564075,"0,0,0","0,0,1",9,PDB-homolog (manually assembled),0,cytokinesis/motility
MG_224_8MER_GTP,,89.43089431,1w5b_8mer.pdb,,AU,,cell division protein ftsZ activated 8mer,,curated_root.mge,c,1.0,-,0.564437,"0,0,0","0,0,1",11,PDB-homolog (manually assembled),0,cytokinesis/motility
MG_224_9MER_GDP,,89.43089431,1w5b_9mer.pdb,,AU,,cell division protein ftsZ deactivated 9mer,,curated_root.mge,c,1.0,-,0.564199,"0,0,0","0,0,1",0,PDB-homolog (manually assembled),0,cytokinesis/motility
MG_224_9MER_GTP,,89.43089431,1w5b_9mer.pdb,,AU,,cell division protein ftsZ activated 9mer,,curated_root.mge,c,1.0,-,0.564199,"0,0,0","0,0,1",21,PDB-homolog (manually assembled),0,cytokinesis/motility
MG_224_MONOMER_GDP,,89.43089431,2VXY, or :A,BU1,,cell division protein ftsZ hydrolysed,,curated_root.mge,c,1.0,-,0.533722,"2.32e-16,-2e-17,40","0,0,1",0,PDB-homolog,0,cytokinesis/motility
MG_224_MONOMER_GTP,,89.43089431,2VXY, or :A,1,,cell division protein ftsZ activated,,curated_root.mge,c,1.0,-,0.533722,"0,0,0","0,0,1",6,PDB-homolog,0,cytokinesis/motility
MG_225_DIMER,108788,99.79550102,MG_225_DIMER_g.pdb,,AU,,amino acid transporter,TRUE,curated_root.mge,m,1.0,4DJI,0.450668,"1,0,-2","-0.64,0.74,0.19",13,Homology Modeling,0,protein transport/singaling
MG_226_DIMER,108297,100.0,MG_226_DIMER_g.pdb,,AU,,amino acid transporter,TRUE,curated_root.mge,m,1.0,4DJI,0.433401,"0,0,0","-0.83,0.56,0.06",16,Homology Modeling,0,protein transport/singaling
MG_227_DIMER,65078.6,100.0,MG_227_DIMER_g.pdb,,AU,,thymidylate synthase,,curated_root.mge,c,1.0,1TDA,0.566291,"0,0,0","0,0,1",22,Homology Modeling,0,metabolism
MG_228_TETRAMER,74374.4,100.0,dhfr.pdb,,AU,,dihydrofolate reductase,,curated_root.mge,c,1.0,3FL8_A,0.270021,"0,0,0","0,0,1",16,CYT-MG-model,0,metabolism
MG_229_231_TETRAMER,241311,100.0,2BQ1,,1,,ribonucleoside-diphosphate reductase,,curated_root.mge,c,1.0,-,0.532005,"0,0,0","0,0,1",28,PDB-homolog,0,metabolism
MG_229_231_TETRAMER_ox,,100.0,2BQ1,,1,,oxidized ribonucleoside-diphosphate reductase,,curated_root.mge,c,1.0,-,0.532005,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_239_HEXAMER,537692,66.79245283,3M6A,,BU1,,ATP-dependent protease La,,curated_root.mge,c,1.0,-,0.465434,"0,0,0","0,0,1",13,PDB-homolog,0,protein folding/maturation
MG_240_HEXAMER,237952,53.089714289999996,nadd.pdb,,AU,,nicotinamide-nucleotide adenylyltransferase/conserved hypothetical protein,,curated_root.mge,c,1.0,1KAM_ABCD; 3CCG,0.222103,"0,0,0","0,0,1",13,CYT-MG-model,0,metabolism
MG_244_DIMER,162057,99.71550498,4C2T, or :A or :B,BU1,,3-5' helicase,,curated_root.mge,c,1.0,-,-1,"6,-1,13","-0.83,0.43,0.34",11,PDB-homolog,1,DNA replication/maintenance
MG_251_DIMER,102728,99.10313901,MG_251_DIMER_g.pdb,,AU,,glycyl-tRNA synthetase,,curated_root.mge,c,1.0,1ATI,0.458108,"0,0,0","0,0,1",15,Homology Modeling,0,RNA synthesis/maturation
MG_252_DIMER,53925.2,100.0,MG_252_DIMER_g.pdb,,AU,,23S rRNA methyltransferase,,curated_root.mge,c,1.0,5KZK,0.504408,"0,0,0","0,0,1",19,Homology Modeling,0,RNA synthesis/maturation
MG_259_TETRAMER,207508,37.71929825,MG_259_TETRAMER_g.pdb,,AU,,modification methylase,,curated_root.mge,c,1.0,na,0.41431,"0,0,0","0,0,1",60,Homology Modeling,0,translation
MG_265_DIMER,63727.6,100.0,yid2.pdb,,AU,,sugar phosphatase,,curated_root.mge,c,1.0,1RKQ_A,0.302308,"0,0,0","0,0,1",28,CYT-MG-model,0,metabolism
MG_271_272_273_274_192MER,7642280,99.000548996875,E2E3_2.pdb,,AU,,pyruvate dehydrogenase,,curated_root.mge,c,1.0,-,0.010382,"2.32e-16,-2e-17,40","0,0,1",12,PDB-homolog (manually assembled),0,metabolism
MG_271_272_273_274_192MER_ox,,99.000548996875,E2E3_2.pdb,,AU,,oxidized dihydrolipoamide dehydrogenase,,curated_root.mge,c,1.0,-,0.010382,"2.32e-16,-2e-17,40","0,0,1",0,PDB-homolog (manually assembled),0,metabolism
MG_275_TETRAMER,211945,98.32635983,MG_275_TETRAMER_g.pdb,,AU,,NADH oxidase,,curated_root.mge,c,1.0,1xdi,0.430295,"0,0,0","0,0,1",284,Homology Modeling,0,metabolism
MG_276_DIMER,39952.6,99.345,MG_276_DIMER_g.pdb,,AU,,adenine phosphoribosyltransferase,,curated_root.mge,c,1.0,1ZN9,0.554509,"2.32e-16,-2e-17,40","0,0,1",14,Homology Modeling,0,metabolism
MG_278_DIMER,166788,99.44444444,MG_278_DIMER_g.pdb,,AU,,GTP pyrophosphokinase,,curated_root.mge,c,1.0,na,0.34799,"0,0,0","0,0,1",17,Homology Modeling,0,metabolism
MG_283_DIMER,110249,100.0,pros.pdb, or :A or :B,AU,,prolyl-tRNA synthetase,,curated_root.mge,c,1.0,1H4Q_AB,0.358813,"0,0,0","0,0,1",14,CYT-MG-model,0,RNA synthesis/maturation
MG_287_MONOMER_ACP,,99.1,MG_287_MONOMER_int.pdb,,AU,,holo acyl carrier protein,,curated_root.mge,c,1.0,1klp; 1vku; 5kp7; 1f80; 2liu; 4dxe; 1x3o; 5h9h,0.7309,"0,0,0","0,0,1",0,Homology Modeling,0,metabolism
