#DNA_BINDING PROTEINS
MONOMERS FRAME  149
COMPLEXES FRAME  145
protId, coordinates, strand, dna_footprint
DNA_GYRASE,231048,1,140
RNA_POLYMERASE,233284,1,75
MG_213_214_298_6MER_ADP,234862,1,630
RNA_POLYMERASE,236289,1,75
DNA_GYRASE,238949,1,140
MG_469_1MER_ATP,241680,1,11
MG_213_214_298_6MER_ADP,241798,1,630
RNA_POLYMERASE,244330,1,75
RNA_POLYMERASE,246952,1,75
MG_213_214_298_6MER_ADP,247647,1,630
DNA_GYRASE,251036,1,140
DNA_GYRASE,251409,1,140
MG_213_214_298_6MER_ADP,253035,1,630
DNA_GYRASE,254463,1,140
RNA_POLYMERASE,255113,1,75
RNA_POLYMERASE,255478,1,75
RNA_POLYMERASE,256475,1,75
RNA_POLYMERASE,257032,1,75
RNA_POLYMERASE,257748,1,75
RNA_POLYMERASE,257838,1,75
MG_213_214_298_6MER_ADP,258372,1,630
MG_213_214_298_6MER_ADP,264169,1,630
RNA_POLYMERASE,269810,1,75
RNA_POLYMERASE,270079,1,75
DNA_GYRASE,270744,1,140
MG_469_1MER_ATP,272417,1,11
MG_213_214_298_6MER_ADP,275557,1,630
MG_469_1MER_ATP,276285,1,11
RNA_POLYMERASE,278238,1,75
RNA_POLYMERASE,279624,1,75
MG_213_214_298_6MER_ADP,283655,1,630
MG_469_1MER_ATP,289078,1,11
MG_213_214_298_6MER_ADP,289315,1,630
MG_213_214_298_6MER_ADP,295218,1,630
DNA_GYRASE,297094,1,140
MG_213_214_298_6MER_ADP,301890,1,630
MG_469_1MER_ATP,303284,1,11
DNA_GYRASE,305561,1,140
MG_469_1MER_ATP,307750,1,11
MG_213_214_298_6MER_ADP,308374,1,630
MG_469_1MER_ATP,312075,1,11
MG_213_214_298_6MER_ADP,314083,1,630
MG_213_214_298_6MER_ADP,320638,1,630
MG_469_1MER_ATP,321535,1,11
DNA_GYRASE,325942,1,140
MG_469_1MER_ATP,326174,1,11
MG_213_214_298_6MER_ADP,326729,1,630
DNA_GYRASE,330730,1,140
MG_213_214_298_6MER_ADP,334138,1,630
RNA_POLYMERASE,345652,1,75
MG_213_214_298_6MER_ADP,345837,1,630
MG_213_214_298_6MER_ADP,352682,1,630
MG_469_1MER_ATP,354074,1,11
DNA_GYRASE,357163,1,140
MG_213_214_298_6MER_ADP,358057,1,630
MG_213_214_298_6MER_ADP,366817,1,630
DNA_GYRASE,372542,1,140
MG_213_214_298_6MER_ADP,373868,1,630
MG_469_1MER_ATP,377941,1,11
MG_469_1MER_ATP,378607,1,11
MG_469_1MER_ATP,379406,1,11
MG_213_214_298_6MER_ADP,379643,1,630
MG_469_1MER_ATP,382279,1,11
DNA_GYRASE,383044,1,140
MG_213_214_298_6MER_ADP,385484,1,630
MG_469_1MER_ATP,387812,1,11
MG_469_1MER_ATP,388310,1,11
MG_213_214_298_6MER_ADP,391306,1,630
MG_469_1MER_ATP,396819,1,11
MG_213_214_298_6MER_ADP,396868,1,630
MG_213_214_298_6MER_ADP,403858,1,630
MG_213_214_298_6MER_ADP,411057,1,630
MG_469_1MER_ATP,412826,1,11
MG_469_1MER_ATP,415632,1,11
MG_469_1MER_ATP,415774,1,11
MG_213_214_298_6MER_ADP,417614,1,630
MG_469_1MER_ATP,422767,1,11
DNA_GYRASE,424585,1,140
MG_213_214_298_6MER_ADP,424826,1,630
MG_469_1MER_ATP,426172,1,11
MG_469_1MER_ATP,427129,1,11
MG_213_214_298_6MER_ADP,430541,1,630
MG_469_1MER_ATP,431684,1,11
MG_213_214_298_6MER_ADP,436093,1,630
MG_469_1MER_ATP,440050,1,11
MG_469_1MER_ATP,440821,1,11
MG_213_214_298_6MER_ADP,442427,1,630
RNA_POLYMERASE,445141,1,75
MG_213_214_298_6MER_ADP,448566,1,630
DNA_GYRASE,451111,1,140
DNA_GYRASE,453053,1,140
MG_213_214_298_6MER_ADP,453871,1,630
MG_213_214_298_6MER_ADP,459237,1,630
DNA_GYRASE,463078,1,140
MG_213_214_298_6MER_ADP,469730,1,630
MG_213_214_298_6MER_ADP,475069,1,630
MG_213_214_298_6MER_ADP,483547,1,630
MG_469_1MER_ATP,486091,1,11
MG_213_214_298_6MER_ADP,493075,1,630
MG_469_1MER_ATP,498349,1,11
MG_469_1MER_ATP,498793,1,11
MG_213_214_298_6MER_ADP,499890,1,630
DNA_GYRASE,501647,1,140
MG_213_214_298_6MER_ADP,507197,1,630
DNA_GYRASE,509102,1,140
MG_213_214_298_6MER_ADP,513922,1,630
MG_469_1MER_ATP,516959,1,11
MG_469_1MER_ATP,517181,1,11
DNA_GYRASE,517642,1,140
MG_469_1MER_ATP,517790,1,11
MG_213_214_298_6MER_ADP,519318,1,630
DNA_GYRASE,523272,1,140
MG_469_1MER_ATP,523429,1,11
MG_213_214_298_6MER_ADP,526918,1,630
MG_213_214_298_6MER_ADP,534961,1,630
MG_213_214_298_6MER_ADP,540475,1,630
DNA_GYRASE,542608,1,140
MG_213_214_298_6MER_ADP,546719,1,630
DNA_GYRASE,551104,1,140
MG_469_1MER_ATP,551907,1,11
MG_428_DIMER,552553,1,28
MG_213_214_298_6MER_ADP,553127,1,630
MG_213_214_298_6MER_ADP,558544,1,630
DNA_GYRASE,559277,1,140
DNA_GYRASE,562067,1,140
MG_213_214_298_6MER_ADP,565316,1,630
DNA_GYRASE,568592,1,140
MG_213_214_298_6MER_ADP,571227,1,630
MG_469_1MER_ATP,573471,1,11
MG_213_214_298_6MER_ADP,576791,1,630
DNA_GYRASE,577931,1,140
MG_469_1MER_ATP,578791,1,11
MG_469_1MER_ATP,578854,1,11
MG_469_1MER_ATP,579010,1,11
RNA_POLYMERASE,15401,2,75
RNA_POLYMERASE,35872,2,75
RNA_POLYMERASE,40036,2,75
RNA_POLYMERASE,122426,2,75
RNA_POLYMERASE,314893,2,75
RNA_POLYMERASE,322155,2,75
RNA_POLYMERASE,327625,2,75
RNA_POLYMERASE,329284,2,75
RNA_POLYMERASE,330979,2,75
RNA_POLYMERASE,332986,2,75
RNA_POLYMERASE,333475,2,75
RNA_POLYMERASE,340044,2,75
RNA_POLYMERASE,341264,2,75
RNA_POLYMERASE,344242,2,75
RNA_POLYMERASE,344333,2,75
RNA_POLYMERASE,361419,2,75
RNA_POLYMERASE,390053,2,75
RNA_POLYMERASE,392663,2,75
RNA_POLYMERASE,403242,2,75
RNA_POLYMERASE,403422,2,75
RNA_POLYMERASE,403654,2,75
RNA_POLYMERASE,407177,2,75
RNA_POLYMERASE,418374,2,75
RNA_POLYMERASE,432630,2,75
RNA_POLYMERASE,434507,2,75
RNA_POLYMERASE,439941,2,75
RNA_POLYMERASE,443142,2,75
RNA_POLYMERASE,452466,2,75
RNA_POLYMERASE,453405,2,75
RNA_POLYMERASE,480307,2,75
RNA_POLYMERASE,494801,2,75
RNA_POLYMERASE,495181,2,75
RNA_POLYMERASE,524611,2,75
RNA_POLYMERASE,529734,2,75
RNA_POLYMERASE,545201,2,75
RNA_POLYMERASE,547911,2,75
RNA_POLYMERASE,555140,2,75
RNA_POLYMERASE,555333,2,75
RNA_POLYMERASE_HOLOENZYME,559943,2,75
RNA_POLYMERASE,561045,2,75
RNA_POLYMERASE,565075,2,75
RNA_POLYMERASE,566490,2,75
