#DNA_BINDING PROTEINS
MONOMERS FRAME  1184
COMPLEXES FRAME  1189
protId, coordinates, strand, dna_footprint
MG_213_214_298_6MER_ADP,368410,1,630
DNA_GYRASE,372755,1,140
MG_213_214_298_6MER_ADP,373974,1,630
MG_205_DIMER,376752,1,33
MG_213_214_298_6MER_ADP,380104,1,630
MG_469_1MER_ATP,382481,1,11
DNA_GYRASE,383359,1,140
MG_469_1MER_ATP,384438,1,11
MG_469_1MER_ATP,385300,1,11
MG_213_214_298_6MER_ADP,387800,1,630
DNA_GYRASE,389823,1,140
DNA_GYRASE,390454,1,140
MG_469_1MER_ATP,390706,1,11
MG_213_214_298_6MER_ADP,393411,1,630
MG_213_214_298_6MER_ADP,398841,1,630
RNA_POLYMERASE,399903,1,75
MG_213_214_298_6MER_ADP,405740,1,630
DNA_GYRASE,412836,1,140
DNA_GYRASE,413749,1,140
MG_213_214_298_6MER_ADP,414442,1,630
DNA_GYRASE,417826,1,140
DNA_GYRASE,418133,1,140
MG_213_214_298_6MER_ADP,419789,1,630
MG_213_214_298_6MER_ADP,425273,1,630
DNA_GYRASE,429437,1,140
MG_213_214_298_6MER_ADP,430881,1,630
MG_213_214_298_6MER_ADP,436237,1,630
MG_213_214_298_6MER_ADP,441905,1,630
MG_469_1MER_ATP,446028,1,11
RNA_POLYMERASE,447263,1,75
MG_213_214_298_6MER_ADP,449542,1,630
MG_213_214_298_6MER_ADP,455061,1,630
DNA_GYRASE,455903,1,140
RNA_POLYMERASE,460216,1,75
MG_213_214_298_6MER_ADP,462300,1,630
DNA_GYRASE,463430,1,140
MG_213_214_298_6MER_ADP,467753,1,630
MG_469_1MER_ATP,470146,1,11
MG_213_214_298_6MER_ADP,475864,1,630
RNA_POLYMERASE,478494,1,75
MG_213_214_298_6MER_ADP,481571,1,630
MG_469_1MER_ATP,482308,1,11
MG_469_1MER_ATP,486091,1,11
MG_469_1MER_ATP,486367,1,11
MG_469_1MER_ATP,486435,1,11
MG_213_214_298_6MER_ADP,486856,1,630
MG_469_1MER_ATP,491909,1,11
DNA_GYRASE,492119,1,140
MG_213_214_298_6MER_ADP,493217,1,630
MG_469_1MER_ATP,495293,1,11
MG_469_1MER_ATP,498793,1,11
MG_213_214_298_6MER_ADP,500354,1,630
MG_213_214_298_6MER_ADP,507157,1,630
MG_213_214_298_6MER_ADP,512554,1,630
DNA_GYRASE,514376,1,140
DNA_GYRASE,514992,1,140
MG_213_214_298_6MER_ADP,519074,1,630
DNA_GYRASE,519716,1,140
MG_469_1MER_ATP,520776,1,11
DNA_GYRASE,522902,1,140
MG_469_1MER_ATP,523429,1,11
MG_213_214_298_6MER_ADP,524410,1,630
MG_469_1MER_ATP,527673,1,11
MG_469_1MER_ATP,529465,1,11
MG_213_214_298_6MER_ADP,529883,1,630
MG_213_214_298_6MER_ADP,535412,1,630
DNA_GYRASE,537678,1,140
MG_213_214_298_6MER_ADP,541712,1,630
MG_213_214_298_6MER_ADP,547312,1,630
DNA_GYRASE,549164,1,140
DNA_GYRASE,550911,1,140
DNA_GYRASE,551193,1,140
MG_428_DIMER,552553,1,28
MG_213_214_298_6MER_ADP,552832,1,630
MG_469_1MER_ATP,554107,1,11
MG_469_1MER_ATP,556936,1,11
MG_213_214_298_6MER_ADP,558197,1,630
DNA_GYRASE,559634,1,140
MG_213_214_298_6MER_ADP,564021,1,630
MG_469_1MER_ATP,566474,1,11
DNA_GYRASE,566737,1,140
MG_469_1MER_ATP,568116,1,11
MG_213_214_298_6MER_ADP,570607,1,630
MG_469_1MER_ATP,574096,1,11
MG_213_214_298_6MER_ADP,575927,1,630
MG_469_2MER_ATP,578791,1,11
MG_469_2MER_ATP,578895,1,11
RNA_POLYMERASE,67062,2,75
RNA_POLYMERASE_HOLOENZYME,70482,2,75
RNA_POLYMERASE,240241,2,75
RNA_POLYMERASE,245522,2,75
RNA_POLYMERASE,286466,2,75
RNA_POLYMERASE,295991,2,75
RNA_POLYMERASE,300153,2,75
RNA_POLYMERASE,323371,2,75
RNA_POLYMERASE,329287,2,75
RNA_POLYMERASE,329465,2,75
RNA_POLYMERASE,330655,2,75
RNA_POLYMERASE,331446,2,75
RNA_POLYMERASE,331975,2,75
RNA_POLYMERASE,332200,2,75
RNA_POLYMERASE,343992,2,75
RNA_POLYMERASE,366000,2,75
RNA_POLYMERASE,371900,2,75
RNA_POLYMERASE,403163,2,75
RNA_POLYMERASE,403312,2,75
RNA_POLYMERASE,403435,2,75
RNA_POLYMERASE,403650,2,75
RNA_POLYMERASE,412640,2,75
RNA_POLYMERASE,419222,2,75
RNA_POLYMERASE,426453,2,75
RNA_POLYMERASE,432865,2,75
RNA_POLYMERASE,436906,2,75
RNA_POLYMERASE,437499,2,75
RNA_POLYMERASE,438299,2,75
RNA_POLYMERASE,440005,2,75
RNA_POLYMERASE,446259,2,75
RNA_POLYMERASE,474586,2,75
RNA_POLYMERASE,494493,2,75
RNA_POLYMERASE,501344,2,75
RNA_POLYMERASE,508682,2,75
RNA_POLYMERASE,522737,2,75
RNA_POLYMERASE,526354,2,75
RNA_POLYMERASE,561118,2,75
RNA_POLYMERASE,562274,2,75
