name, molecular_weight, confidence (HHpred),pdb, selection, bu, uniprot, label, surface, compartment, comments, complexation, template, quality (modfold=monomers/voroMQA=complexes), offset, pcpalAxis, protein copy number, method, dsDNA-binding, function 
MG_008_379_TETRAMER,238858,100.0,2ZXI,,BU1,,tRNA uridine 5-carboxymethylaminomethyl modification enzyme,,auto_root.mge,c,1.0,-,0.518007,"0,0,0","0,0,1",14,PDB-homolog,0,RNA synthesis/maturation
MG_013_DIMER,59425.2,98.53479853,3L07,,BU1,,methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase,,auto_root.mge,c,1.0,-,0.5188,"0,0,0","0,0,1",12,PDB-homolog,0,metabolism
MG_014_015_DIMER,134546,99.58945025,4Q4H,,AU,,multidrug ABC transporter,TRUE,auto_root.mge,m,1.0,-,0.509286,"1,0,-37","0,0,1",18,PDB-homolog,0,protein transport/singaling
MG_019_DIMER,87491.6,95.88688946,2KHO,,BU1,,chaperone protein DnaJ,,auto_root.mge,c,1.0,-,0.439432,"0,0,0","0,0,1",12,PDB-homolog,0,protein folding/maturation
MG_021_DIMER,116663,100.0,1RQG,,BU1,,methionyl-tRNA synthetase,,auto_root.mge,c,1.0,-,-1,"0,0,0","0,0,1",17,PDB-homolog,0,RNA synthesis/maturation
MG_023_DIMER,62248,100.0,1RV8,,BU1,,fructose-1;6-bisphosphate aldolase; class II,,auto_root.mge,c,1.0,-,0.571613,"0,0,0","0,0,1",134,PDB-homolog,0,metabolism
MG_029_DIMER,41768.6,97.84946237,4K2H,,BU1,,DJ-1/PfpI family protein,,auto_root.mge,c,1.0,-,-1,"0,0,0","0,0,1",20,PDB-homolog,0,metabolism
MG_030_TRIMER,68919,100.0,1I5E,,BU1,,uracil phosphoribosyltransferase,,auto_root.mge,c,1.0,-,0.591896,"0,0,0","0,0,1",16,PDB-homolog,0,metabolism
MG_033_TETRAMER,105452,99.2248062,3IYZ,,BU1,,glycerol uptake facilitator,TRUE,auto_root.mge,m,1.0,-,3.77188e-06,"0,0,0","0,0,1",14,PDB-homolog,0,protein transport/singaling
MG_034_DIMER,47456.6,92.48826291,2UZ3,,BU1,,thymidine kinase,,auto_root.mge,c,1.0,-,0.51772,"0,0,0","0,0,1",29,PDB-homolog,0,metabolism
MG_035_DIMER,94785.6,99.51690821,1WU7,,BU1,,histidyl-tRNA synthetase,,auto_root.mge,c,1.0,-,0.585776,"0,0,0","0,0,1",24,PDB-homolog,0,RNA synthesis/maturation
MG_036_DIMER,125868,99.09090909,1EFW, or :A,AU,,aspartyl-tRNA synthetase,,auto_root.mge,c,1.0,-,0.547063,"0,0,0","0,0,1",15,PDB-homolog,0,RNA synthesis/maturation
MG_038_TETRAMER,217924,99.21259843,3EXQ,,BU1,,glycerol kinase,,auto_root.mge,c,1.0,-,0.462006,"0,0,0","0,0,1",25,PDB-homolog,0,metabolism
MG_039_DIMER,83729.2,100.0,4X9M,,BU1,,FAD-dependent glycerol-3-phosphate dehydrogenase; putative,,auto_root.mge,c,1.0,-,0.533065,"0,0,0","0,0,1",14,PDB-homolog,0,metabolism
MG_040_119_120_121_PENTAMER,279728,76.673016044,4fi3,,AU,,Monosaccharide (riboside/galactoside) ABC transporter,TRUE,auto_root.mge,m,1.0,-,-1,"0,0,0","0,0,1",28,PDB-homolog,0,protein transport/singaling
MG_041_062_429_PENTAMER,284503,83.061469562,2HWG,,BU1,,PTS system; fructose-specific,TRUE,auto_root.mge,m,1.0,-,0.497344,"0,0,0","0,0,1",15,PDB-homolog,0,metabolism
MG_041_069_429_PENTAMER,329025,86.301428098,2HWG,,BU1,,PTS system; glucose-specific,TRUE,auto_root.mge,m,1.0,-,0.497344,"0,0,28","0,0,-1",16,PDB-homolog,0,metabolism
MG_042_043_044_045_PENTAMER,244934,97.466021802,3puz,,AU,,spermidine/putrescine (polyamine) ABC transporter,TRUE,auto_root.mge,m,1.0,-,-1,"0,0,0","0,0,1",13,PDB-homolog,0,protein transport/singaling
MG_046_DIMER,69043.6,99.68253968,4K25,,BU1,,metalloendopeptidase,,auto_root.mge,c,1.0,-,0.478188,"0,0,0","0,0,1",25,PDB-homolog,0,RNA synthesis/maturation
MG_047_TETRAMER,167884,97.12793734,1FUG,,BU1,,S-adenosylmethionine synthetase,,auto_root.mge,c,1.0,-,0.448307,"0,0,0","0,0,1",14,PDB-homolog,0,metabolism
MG_049_HEXAMER,157937,99.57983193,1ECP,,BU1,,purine nucleoside phosphorylase,,auto_root.mge,c,1.0,-,0.593158,"0,0,0","0,0,1",17,PDB-homolog,0,metabolism
MG_051_DIMER,92337.8,100.0,2DSJ,,BU1,,pyrimidine-nucleoside phosphorylase,,auto_root.mge,c,1.0,-,0.523236,"0,0,0","0,0,1",58,PDB-homolog,0,metabolism
MG_052_DIMER,29948.8,99.9,1JTX,,BU1,,cytidine deaminase,,auto_root.mge,c,1.0,-,0.493864,"0,0,0","0,0,1",30,PDB-homolog,0,metabolism
MG_053_TRIMER,189075,92.90909090999999,1WQA,,BU1,,phosphoglucomutase/phosphomannomutase; putative,,auto_root.mge,c,1.0,-,0.543456,"0,0,0","0,0,1",20,PDB-homolog,0,metabolism
MG_055_170_277_464_476_20MER,899195,82.19877841799999,5mg3,,AU,,preprotein translocase,TRUE,auto_root.mge,m,1.0,-,-1,"0,0,0","0,0,1",12,PDB-homolog,0,protein transport/singaling
MG_058_HEXAMER,225076,96.08433735,5MP7,,BU1,,ribose-phosphate pyrophosphokinase,,auto_root.mge,c,1.0,-,0.599978,"0,0,0","0,0,1",12,PDB-homolog,0,metabolism
MG_063_DIMER,67098.6,98.01980198,2JGV,,BU1,,1-phosphofructokinase; putative,,auto_root.mge,c,1.0,-,0.56168,"0,0,0","0,0,1",27,PDB-homolog,0,metabolism
MG_064_065_TETRAMER,400457,52.87213896,5XU1,,AU,,ABC transporter,TRUE,auto_root.mge,m,1.0,-,0.466816,"1,-1,0","0,0,1",29,PDB-homolog,0,protein transport/singaling
MG_066_DIMER,147198,99.69135802,4C7V,,BU1,,transketolase,,auto_root.mge,c,1.0,-,0.532107,"0,0,0","0,0,1",40,PDB-homolog,0,metabolism
MG_072_DIMER,182425,96.77419355,2IPC,,BU1,,preprotein translocase; SecA subunit,,auto_root.mge,c,1.0,-,0.414491,"0,0,0","0,0,1",12,PDB-homolog,0,protein transport/singaling
MG_073_206_421_TETRAMER,355255,82.9843148875,3uwx,,BU1,,DNA incision complex,,auto_root.mge,c,1.0,-,-1,"0,0,0","0,0,1",12,PDB-homolog,1,DNA replication/maintenance
MG_077_078_079_080_321_PENTAMER,330351,67.33091218199999,4tqu,,AU,,oligopeptide ABC transporter,TRUE,auto_root.mge,m,1.0,-,-1,"26,19,6","0,0,1",19,PDB-homolog,0,protein transport/singaling
MG_084_TETRAMER,137025,100.0,3A2K, or :A,AU,,tRNA(Ile)-lysidine synthetase,,auto_root.mge,c,1.0,-,0.457847,"0,0,0","0,0,1",17,PDB-homolog,0,RNA synthesis/maturation
MG_085_HEXAMER,208114,100.0,1KKL,,BU1,,HPr(Ser) kinase/phosphatase,,auto_root.mge,c,1.0,-,0.566027,"0,0,0","0,0,1",10,PDB-homolog,0,metabolism
MG_089_DIMER,152332,99.85465116,2EFG,,BU1,,translation elongation factor G,,auto_root.mge,c,1.0,-,0.516749,"0,0,0","0,0,1",126,PDB-homolog,0,translation
MG_091_OCTAMER,,91.783125,5ODP,,BU1,,single-strand binding protein family; octamer,,auto_root.mge,c,1.0,-,0.466648,"0,0,0","0,0,1",0,PDB-homolog,0,DNA replication/maintenance
MG_091_TETRAMER,71147.2,91.783125,5ODP,,BU1,,single-strand binding protein family; tetramer,,auto_root.mge,c,1.0,-,0.466648,"0,0,0","0,0,1",78,PDB-homolog,0,DNA replication/maintenance
MG_094_HEXAMER,322189,95.94017093999999,4nmn,,BU1,,replicative DNA helicase,,auto_root.mge,c,1.0,-,-1,"0,0,0","0,0,1",41,PDB-homolog,0,DNA replication/maintenance
MG_098_099_100_TRIMER,161404,72.44136967333333,3AL0, or :A or :B or :C,AU,,glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase,,auto_root.mge,c,1.0,-,0.4576,"1,-1,0","0,0,1",126,PDB-homolog,0,RNA synthesis/maturation
MG_102_DIMER,69348,100.0,2Q7V,,BU1,,thioredoxin-disulfide reductase,,auto_root.mge,c,1.0,-,0.539428,"0,0,0","0,0,1",16,PDB-homolog,0,metabolism
MG_102_DIMER_ox,,100.0,2Q7V,,BU1,,oxidized thioredoxin-disulfide reductase,,auto_root.mge,c,1.0,-,0.539428,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_105_OCTAMER,179746,87.0,4RV7,,BU1,,putative DNA integrity scanning protein,,auto_root.mge,c,1.0,-,0.555482,"0,0,0","0,0,1",15,PDB-homolog,0,DNA replication/maintenance
MG_106_DIMER,44195,95.85492228,3U04,,BU1,,peptide deformylase,,auto_root.mge,c,1.0,-,0.463802,"0,0,0","0,0,1",31,PDB-homolog,0,protein folding/maturation
MG_107_DIMER,44255,93.02857143,2AN9,,BU1,,guanylate kinase,,auto_root.mge,c,1.0,-,0.489653,"0,0,0","0,0,1",18,PDB-homolog,0,metabolism
MG_109_DIMER,88135,90.43927649,4X3F, or :A ,1,,serine/threonine protein kinase; putative,TRUE,auto_root.mge,m,1.0,-,0.457688,"-42,22,-7","0.82,-0.57,-0.08",30,PDB-homolog,0,protein transport/singaling
MG_111_DIMER,98317.6,99.30715935,1B0Z,,BU1,,glucose-6-phosphate isomerase,,auto_root.mge,c,1.0,-,0.508395,"0,0,0","0,0,1",24,PDB-homolog,0,metabolism
MG_112_DIMER,48200,97.51004785,3CU2,,BU1,,ribulose-phosphate 3-epimerase,,auto_root.mge,c,1.0,-,0.582531,"0,0,0","0,0,1",22,PDB-homolog,0,metabolism
MG_113_DIMER,103427,99.12280702,1X54,,BU1,,asparaginyl-tRNA synthetase,,auto_root.mge,c,1.0,-,0.508829,"0,0,0","0,0,1",21,PDB-homolog,0,RNA synthesis/maturation
MG_114_DIMER,52422.6,90.49661017,5D91,,AU,,CDP-diacylglycerol–glycerol-3-phosphate 3-phosphatidyltransferase,TRUE,auto_root.mge,m,1.0,-,0.482878,"0,0,0","0,0,1",24,PDB-homolog,0,metabolism
MG_118_DIMER,76105.8,99.11764706,1LRK,,AU,,UDP-glucose 4-epimerase,,auto_root.mge,c,1.0,-,0.530935,"0,0,0","0,0,1",18,PDB-homolog,0,metabolism
MG_123_DIMER,109791,42.66878981,3TM8,,1,,arginine deaminase,TRUE,auto_root.mge,m,1.0,-,0.479733,"0,0,-37","0,0.24,1",18,PDB-homolog,0,RNA synthesis/maturation
MG_124_MONOMER_ox,,99.9,4I6X,,AU,,oxidized thioredoxin,,auto_root.mge,c,1.0,-,0.528731,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_126_DIMER,78656,99.42363112,1I6M,,BU1,,tryptophanyl-tRNA synthetase,,auto_root.mge,c,1.0,-,0.529242,"0,0,0","0,0,1",12,PDB-homolog,0,RNA synthesis/maturation
MG_127_MONOMER_ox,,88.87655172,1S3C, or :A,AU,,oxidized Spx subfamily protein,,auto_root.mge,c,1.0,-,0.525992,"1,14,18","-0.89,0.45,0.02",0,PDB-homolog,0,transcription
MG_128_HEXAMER,175198,99.61389961000002,2I2C,,BU1,,inorganic polyphosphate/ATP-NAD kinase; probable,,auto_root.mge,c,1.0,-,0.518864,"0,0,0","0,0,1",11,PDB-homolog,0,metabolism
MG_132_DIMER,31173.6,98.48297872,3IMI,,BU1,,purine nucleoside phosphoramidase,,auto_root.mge,c,1.0,-,0.578942,"0,0,0","0,0,1",16,PDB-homolog,0,metabolism
MG_136_DIMER,112386,99.79591837,3E9H,,BU1,,lysyl-tRNA synthetase,,auto_root.mge,c,1.0,-,0.542468,"0,0,0","0,0,1",29,PDB-homolog,0,RNA synthesis/maturation
MG_137_DIMER,92577.6,95.2970297,3HDQ,,BU1,,UDP-galactopyranose mutase,,auto_root.mge,c,1.0,-,0.548302,"0,0,0","0,0,1",29,PDB-homolog,0,metabolism
MG_139_DIMER,128030,98.5940246,3ZQ4,,BU1,,ribonuclease J,,auto_root.mge,c,1.0,-,0.566401,"0,0,0","0,0,1",8,PDB-homolog,0,RNA synthesis/maturation
MG_179_180_181_TETRAMER,159115,94.7556390975,5jsz,,AU,,metal ion (cobalt) ABC transporter,TRUE,auto_root.mge,m,1.0,-,-1,"0,0,0","0,0,1",16,PDB-homolog,0,protein transport/singaling
MG_182_DIMER,54822.2,100.0,1VS3,,BU1,,Pseudouridylate synthase,,auto_root.mge,c,1.0,-,0.545456,"0,0,0","0,0,1",16,PDB-homolog,0,RNA synthesis/maturation
MG_184_DIMER,73734.2,48.47318612,2OKC, or :A,AU,,adenine-specific DNA modification methylase,,auto_root.mge,c,1.0,-,0.545108,"0,0,0","0,0,1",35,PDB-homolog,1,DNA replication/maintenance
MG_186_187_188_189_PENTAMER,193542,84.77358433399999,4TQU,,AU,,Oligosaccharide or polyol ABC transporter,TRUE,auto_root.mge,m,1.0,-,0.519444,"-2,-1,-6","0,0,1",28,PDB-homolog,0,protein transport/singaling
MG_194_195_TETRAMER,259621,99.791337695,2IY5, or :A or :B,1,,phenylalanyl-tRNA synthetase,,auto_root.mge,c,1.0,-,0.513586,"0,0,0","0,0,1",35,PDB-homolog,0,RNA synthesis/maturation
MG_201_DIMER,49655.8,82.48847926,2KHO,,BU1,,co-chaperone GrpE,,auto_root.mge,c,1.0,-,0.439432,"0,0,0","0,0,1",23,PDB-homolog,0,protein folding/maturation
MG_203_204_TETRAMER,319047,94.65636270499999,4I3H, or :A or :B,AU,,topoisomerase IV,,auto_root.mge,c,1.0,-,-1,"-9,4,-11","-0.92,0.39,0.02",12,PDB-homolog,1,DNA replication/maintenance
MG_205_DIMER,78653.4,99.41690962,1STZ, or :A or :C,AU,,heat-inducible transcription repressor HrcA; putative,,auto_root.mge,c,1.0,-,0.565621,"19,-31,38","-0.49,0.78,0.39",17,PDB-homolog,1,transcription
MG_208_DIMER,45070.2,97.95918367,2A6A,,BU1,,glycoprotease family protein,,auto_root.mge,c,1.0,-,0.536469,"0,0,0","0,0,1",9,PDB-homolog,0,protein folding/maturation
MG_213_214_298_6MER,377002,75.21767086333334,4AD8,,BU1,,chromosome segregation protein SMC,,auto_root.mge,c,1.0,-,0.406403,"0,0,0","0,0,1",2,PDB-homolog,1,cytokinesis/motility
MG_213_214_298_6MER_ADP,,75.21767086333334,4AD8,,BU1,,Chromosome Segregation Protein SMC with SCP Proteins-ADP,,auto_root.mge,c,1.0,-,0.406403,"0,0,0","0,0,1",0,PDB-homolog,1,cytokinesis/motility
MG_215_TETRAMER,141818,99.07120743,1ZXX,,BU1,,6-phosphofructokinase,,auto_root.mge,c,1.0,-,0.521332,"0,0,0","0,0,1",20,PDB-homolog,0,metabolism
MG_216_TETRAMER,227099,98.42519685,1E0T,,BU1,,pyruvate kinase,,auto_root.mge,c,1.0,-,0.541882,"0,0,0","0,0,1",26,PDB-homolog,0,metabolism
MG_221_OCTAMER,130452,100.0,1N0E,,BU1,,mraZ protein,,auto_root.mge,c,1.0,-,0.608551,"0,0,0","-1,0.03,-0.04",16,PDB-homolog,1,cytokinesis/motility
MG_224_2MER_GTP,,89.43089431,1W5B,,AU,,cell division protein ftsZ activated 2mer,,auto_root.mge,c,1.0,-,0.564241,"2.32e-16,-2e-17,40","0,0,1",1,PDB-homolog,0,cytokinesis/motility
MG_224_3MER_GTP,,89.43089431,1W5B,,AU,,cell division protein ftsZ activated 3mer,,auto_root.mge,c,1.0,-,0.564241,"0,0,0","0,0,1",1,PDB-homolog,0,cytokinesis/motility
MG_224_4MER_GTP,,89.43089431,1W5B,,AU,,cell division protein ftsZ activated 4mer,,auto_root.mge,c,1.0,-,0.564241,"0,0,0","0,0,1",2,PDB-homolog,0,cytokinesis/motility
MG_224_5MER_GTP,,89.43089431,1W5B,,AU,,cell division protein ftsZ activated 5mer,,auto_root.mge,c,1.0,-,0.564241,"0,0,0","0,0,1",2,PDB-homolog,0,cytokinesis/motility
MG_224_6MER_GTP,,89.43089431,1W5B,,AU,,cell division protein ftsZ activated 6mer,,auto_root.mge,c,1.0,-,0.564241,"0,0,0","0,0,1",4,PDB-homolog,0,cytokinesis/motility
MG_224_7MER_GTP,,89.43089431,1W5B,,AU,,cell division protein ftsZ activated 7mer,,auto_root.mge,c,1.0,-,0.564241,"0,0,0","0,0,1",9,PDB-homolog,0,cytokinesis/motility
MG_224_8MER_GTP,,89.43089431,1W5B,,AU,,cell division protein ftsZ activated 8mer,,auto_root.mge,c,1.0,-,0.564241,"0,0,0","0,0,1",11,PDB-homolog,0,cytokinesis/motility
MG_224_9MER_GDP,,89.43089431,1W5B,,AU,,cell division protein ftsZ deactivated 9mer,,auto_root.mge,c,1.0,-,0.564241,"0,0,0","0,0,1",0,PDB-homolog,0,cytokinesis/motility
MG_224_9MER_GTP,,89.43089431,1W5B,,AU,,cell division protein ftsZ activated 9mer,,auto_root.mge,c,1.0,-,0.564241,"0,0,0","0,0,1",21,PDB-homolog,0,cytokinesis/motility
MG_224_MONOMER_GDP,,89.43089431,2VXY, or :A,BU1,,cell division protein ftsZ hydrolysed,,auto_root.mge,c,1.0,-,0.533722,"2.32e-16,-2e-17,40","0,0,1",0,PDB-homolog,0,cytokinesis/motility
MG_224_MONOMER_GTP,,89.43089431,2VXY, or :A,1,,cell division protein ftsZ activated,,auto_root.mge,c,1.0,-,0.533722,"0,0,0","0,0,1",6,PDB-homolog,0,cytokinesis/motility
MG_225_DIMER,108788,99.79550102,4DJK,,3,,amino acid transporter,TRUE,auto_root.mge,m,1.0,-,0.516347,"1,0,-2","0,0,1",13,PDB-homolog,0,protein transport/singaling
MG_226_DIMER,108297,100.0,4DJK,,AU,,amino acid transporter,TRUE,auto_root.mge,m,1.0,-,0.516347,"1,0,-2","0,0,1",16,PDB-homolog,0,protein transport/singaling
MG_227_DIMER,65078.6,100.0,4DQ1,,BU1,,thymidylate synthase,,auto_root.mge,c,1.0,-,0.556405,"0,0,0","0,0,1",22,PDB-homolog,0,metabolism
MG_228_TETRAMER,74374.4,100.0,3FL8,,BU1,,dihydrofolate reductase,,auto_root.mge,c,1.0,-,0.550737,"0,0,0","0,0,1",16,PDB-homolog,0,metabolism
MG_229_231_TETRAMER,241311,100.0,2BQ1,,1,,ribonucleoside-diphosphate reductase,,auto_root.mge,c,1.0,-,0.532005,"0,0,0","0,0,1",28,PDB-homolog,0,metabolism
MG_229_231_TETRAMER_ox,,100.0,2BQ1,,1,,oxidized ribonucleoside-diphosphate reductase,,auto_root.mge,c,1.0,-,0.532005,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_239_HEXAMER,537692,66.79245283,3M6A,,BU1,,ATP-dependent protease La,,auto_root.mge,c,1.0,-,0.465434,"0,0,0","0,0,1",13,PDB-homolog,0,protein folding/maturation
MG_240_HEXAMER,237952,53.089714289999996,1KAM,,BU1,,nicotinamide-nucleotide adenylyltransferase/conserved hypothetical protein,,auto_root.mge,c,1.0,-,0.562159,"0,0,0","0,0,1",13,PDB-homolog,0,metabolism
MG_244_DIMER,162057,99.71550498,4C2T, or :A or :B,BU1,,3-5' helicase,,auto_root.mge,c,1.0,-,-1,"6,-1,13","-0.83,0.43,0.34",11,PDB-homolog,1,DNA replication/maintenance
MG_251_DIMER,102728,99.10313901,1ATI,,BU1,,glycyl-tRNA synthetase,,auto_root.mge,c,1.0,-,0.539486,"0,0,0","0,0,1",15,PDB-homolog,0,RNA synthesis/maturation
MG_252_DIMER,53925.2,100.0,1GZ0,,BU1,,23S rRNA methyltransferase,,auto_root.mge,c,1.0,-,0.558036,"0,0,0","0,0,1",19,PDB-homolog,0,RNA synthesis/maturation
MG_259_TETRAMER,207508,37.71929825,1K7J,,BU1,,modification methylase,,auto_root.mge,c,1.0,-,0.545248,"0,0,0","0,0,1",60,PDB-homolog,0,translation
MG_265_DIMER,63727.6,100.0,1RKQ,,BU1,,sugar phosphatase,,auto_root.mge,c,1.0,-,0.532978,"0,0,0","0,0,1",28,PDB-homolog,0,metabolism
MG_271_272_273_274_192MER,7642280,99.000548996875,1B5S,,BU1,,pyruvate dehydrogenase,,auto_root.mge,c,1.0,-,-1,"0,0,0","0,0,1",12,PDB-homolog,0,metabolism
MG_271_272_273_274_192MER_ox,,99.000548996875,1B5S,,BU1,,oxidized dihydrolipoamide dehydrogenase,,auto_root.mge,c,1.0,-,-1,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_275_TETRAMER,211945,98.32635983,1NPX,,BU2,,NADH oxidase,,auto_root.mge,c,1.0,-,0.527728,"0,0,0","0,0,1",284,PDB-homolog,0,metabolism
MG_276_DIMER,39952.6,99.345,2DY0,,BU1,,adenine phosphoribosyltransferase,,auto_root.mge,c,1.0,-,0.581778,"0,0,0","0,0,1",14,PDB-homolog,0,metabolism
MG_278_DIMER,166788,99.44444444,5IQR, or :8,AU,,GTP pyrophosphokinase,,auto_root.mge,c,1.0,-,0.383249,"0,0,0","0,0,1",17,PDB-homolog,0,metabolism
MG_283_DIMER,110249,100.0,1H4Q, or :A or :B,AU,,prolyl-tRNA synthetase,,auto_root.mge,c,1.0,-,0.571362,"0,0,0","0,0,1",14,PDB-homolog,0,RNA synthesis/maturation
MG_287_MONOMER_ACP,,99.1,4H2W, or :C,AU,,holo acyl carrier protein,,auto_root.mge,c,1.0,-,0.56892,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_287_MONOMER_ddcaACP,,99.1,4H2W, or :C,AU,,Dodecanoyl-ACP (n-C12:0ACP),,auto_root.mge,c,1.0,-,0.56892,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_287_MONOMER_hdeACP,,99.1,4H2W, or :C,AU,,cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1),,auto_root.mge,c,1.0,-,0.56892,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_287_MONOMER_myrsACP,,99.1,4H2W, or :C,AU,,Myristoyl-ACP (n-C14:0ACP),,auto_root.mge,c,1.0,-,0.56892,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_287_MONOMER_ocdcaACP,,99.1,4H2W, or :C,AU,,Octadecanoyl-ACP (n-C18:0ACP),,auto_root.mge,c,1.0,-,0.56892,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_287_MONOMER_octeACP,,99.1,4H2W, or :C,AU,,cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1),,auto_root.mge,c,1.0,-,0.56892,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_287_MONOMER_palmACP,,99.1,4H2W, or :C,AU,,Palmitoyl-ACP (n-C16:0ACP),,auto_root.mge,c,1.0,-,0.56892,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_287_MONOMER_tdeACP,,99.1,4H2W, or :C,AU,,cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1),,auto_root.mge,c,1.0,-,0.56892,"0,0,0","0,0,1",0,PDB-homolog,0,metabolism
MG_289_290_291_PENTAMER,220139,77.075988174,2ONK, or :A or :B or :C or :D or :E,AU,,phosphonate ABC transporter,TRUE,auto_root.mge,m,1.0,-,0.548329,"0,0,0","0,0,1",23,PDB-homolog,0,protein transport/singaling
MG_292_TETRAMER,410504,100.0,3WQY, or :A or :B,AU,,alanyl-tRNA synthetase,,auto_root.mge,c,1.0,-,0.502888,"0,0,0","0,0,1",17,PDB-homolog,0,RNA synthesis/maturation
MG_293_DIMER,57080.4,99.59016393,3QVQ,,BU1,,glycerophosphoryl diester phosphodiesterase family protein,,auto_root.mge,c,1.0,-,0.551852,"0,0,0","0,0,1",36,PDB-homolog,0,metabolism
MG_295_MONOMER_ox,,100.0,2DER, or :A,AU,,oxidized tRNA U34 sulfurtransferase,,auto_root.mge,c,1.0,-,0.481789,"0,0,0","0,0,1",0,PDB-homolog,0,RNA synthesis/maturation
MG_299_DIMER,70193,99.6875,1TD9,,BU1,,phosphate acetyltransferase,,auto_root.mge,c,1.0,-,0.536889,"0,0,0","0,0,1",28,PDB-homolog,0,metabolism
MG_301_TETRAMER,148391,100.0,1ZNQ,,BU1,,glyceraldehyde-3-phosphate dehydrogenase; type I,,auto_root.mge,c,1.0,-,0.59089,"0,0,0","0,0,1",21,PDB-homolog,0,metabolism
MG_302_303_304_TETRAMER,142967,88.24078492,5X3X,,AU,,metal ion (cobalt) ABC transporter,TRUE,auto_root.mge,m,1.0,-,0.501665,"-3,8,-37","0,0,1",12,PDB-homolog,0,protein transport/singaling
